PPV,PR-AUC-Trapezoid,ROC-AUC-Built-in
0.737704918,0.791738991,0.82875817
0.709677419,0.860655738,0.836538462
0.75862069,0.885964912,0.875
0.88,0.94,0.942307692
0.698412698,0.904910449,0.905157343
0.682539683,0.840846502,0.807692308
0.676923077,0.838461538,0.798076923
0.666666667,0.84375,0.807692308
0.75862069,0.885964912,0.875
0.733333333,0.872881356,0.855769231
0.142857143,0.347619048,0.855670103
0.103448276,0.449060067,0.846649485
0.230769231,0.519852941,0.859536082
0.148148148,0.595238095,0.912371134
0.148148148,0.211365105,0.83125
0.131578947,0.592592593,0.885416667
0.142857143,0.389070856,0.819791667
0.108695652,0.466825397,0.791666667
0.060606061,0.303998037,0.735677083
0.142857143,0.451210826,0.850260417
0.341463415,0.670731707,0.846590909
0.28,0.60810537,0.851866883
0.295454545,0.62801573,0.814529221
0.341463415,0.675,0.852272727
0.371428571,0.555373303,0.843968531
0.371428571,0.599579205,0.862762238
0.302325581,0.583832737,0.809003497
0.295454545,0.651162791,0.829545455
0.302325581,0.591069579,0.820367133
0.323529412,0.615305231,0.852272727
0.523809524,0.758514493,0.872826087
0.450980392,0.711131668,0.836956522
0.575,0.772812152,0.889130435
0.46,0.641304348,0.794565217
0.442307692,0.73,0.83125
0.442307692,0.639378776,0.791847826
0.564102564,0.670182556,0.864204545
0.407407407,0.709139792,0.827272727
0.469387755,0.761363636,0.867088608
0.479166667,0.744680851,0.848101266
0.574074074,0.79245283,0.842857143
0.483333333,0.731329114,0.766904762
0.576923077,0.788461538,0.842857143
0.473684211,0.634762582,0.795238095
0.6,0.8,0.857142857
0.607843137,0.803921569,0.855072464
0.607843137,0.829787234,0.884057971
0.534482759,0.767241379,0.804347826
0.508196721,0.754098361,0.782608696
0.563636364,0.79245283,0.84057971
0.612903226,0.809437117,0.806837607
0.696428571,0.848214286,0.858333333
0.696428571,0.861111111,0.875
0.661016949,0.836206897,0.841666667
0.629032258,0.814516129,0.808333333
0.701754386,0.857142857,0.86440678
0.689655172,0.844827586,0.847457627
0.696428571,0.861111111,0.872881356
0.609375,0.80952381,0.796610169
0.735849057,0.878205128,0.892655367
