PPV,PR-AUC-Trapezoid,ROC-AUC-Built-in
0.142857143,0.347619048,0.855670103
0.103448276,0.449060067,0.846649485
0.230769231,0.519852941,0.859536082
0.148148148,0.595238095,0.912371134
0.148148148,0.211365105,0.83125
0.131578947,0.592592593,0.885416667
0.142857143,0.389070856,0.819791667
0.108695652,0.466825397,0.791666667
0.060606061,0.303998037,0.735677083
0.142857143,0.451210826,0.850260417
0.341463415,0.670731707,0.846590909
0.28,0.60810537,0.851866883
0.295454545,0.62801573,0.814529221
0.341463415,0.675,0.852272727
0.371428571,0.555373303,0.843968531
0.371428571,0.599579205,0.862762238
0.302325581,0.583832737,0.809003497
0.295454545,0.651162791,0.829545455
0.302325581,0.591069579,0.820367133
0.323529412,0.615305231,0.852272727
