PPV,PR-AUC-Trapezoid,ROC-AUC-Built-in
0,0.640993636,0.765577342
0.605633803,0.606884175,0.743006993
0.564516129,0.450912912,0.582604895
0.547619048,0.496707225,0.519230769
0.473684211,0.437408385,0.547202797
0.484848485,0.467001145,0.581293706
0.463414634,0.462128973,0.553758741
0.615384615,0.574035997,0.716346154
0.666666667,0.661617682,0.768793706
0.818181818,0.723098658,0.828234266
0,0.06928415,0.719072165
0,0.048142317,0.489690722
0,0.108367561,0.809278351
0,0.050076941,0.62371134
0,0.045392833,0.43125
0,0.027635414,0.139583333
0,0.043990029,0.489583333
0,0.041502648,0.439583333
0,0.056264662,0.619791667
0,0.068139581,0.729166667
0,0.177469081,0.599837662
0.083333333,0.133554542,0.536525974
0.117647059,0.131343777,0.530844156
0,0.257976923,0.564935065
0,0.091875241,0.347902098
0,0.077777701,0.215034965
0,0.157287102,0.613636364
0,0.186185148,0.697552448
0,0.422448261,0.759615385
0,0.429087856,0.850524476
0,0.441126103,0.784782609
0.4,0.368925952,0.752173913
0,0.169278244,0.38423913
0,0.15088055,0.281521739
0,0.145924454,0.258152174
0.055555556,0.146945454,0.267934783
0.666666667,0.332262151,0.589204545
0.428571429,0.317472385,0.68125
0,0.39722331,0.775454045
0,0.382691914,0.760044029
0,0.535958638,0.788940092
0.666666667,0.651300869,0.871904762
0.228571429,0.272694859,0.510952381
0.32,0.277816031,0.458571429
0.571428571,0.346047852,0.567619048
0.3125,0.35941343,0.626460963
0.5,0.400540641,0.698924731
0.333333333,0.543444243,0.808789154
0.5,0.522031029,0.751753156
1,0.756357465,0.869097709
0,0.725828207,0.84017094
0.678571429,0.636520176,0.82991453
0.515625,0.393819633,0.580769231
0.371428571,0.376797725,0.446581197
0.125,0.319927639,0.413675214
0.25,0.335349878,0.429237288
0.594594595,0.464317284,0.647033898
0.615384615,0.586993124,0.755758366
0.6875,0.666487198,0.808344198
0.333333333,0.595333479,0.799217731
