PPV,PR-AUC-Trapezoid,ROC-AUC-Built-in
0,0.06928415,0.719072165
0,0.048142317,0.489690722
0,0.108367561,0.809278351
0,0.050076941,0.62371134
0,0.045392833,0.43125
0,0.027635414,0.139583333
0,0.043990029,0.489583333
0,0.041502648,0.439583333
0,0.056264662,0.619791667
0,0.068139581,0.729166667
0,0.177469081,0.599837662
0.083333333,0.133554542,0.536525974
0.117647059,0.131343777,0.530844156
0,0.257976923,0.564935065
0,0.091875241,0.347902098
0,0.077777701,0.215034965
0,0.157287102,0.613636364
0,0.186185148,0.697552448
0,0.422448261,0.759615385
0,0.429087856,0.850524476
