PPV,PR-AUC-Trapezoid,ROC-AUC-Built-in
0.75,0.881355932,0.862745098
0.733333333,0.851515152,0.841783217
0.745762712,0.872881356,0.855769231
0.785714286,0.892857143,0.884615385
0.721311475,0.860655738,0.836538462
0.6875,0.849206349,0.817307692
0.676923077,0.838461538,0.798076923
0.666666667,0.84375,0.807692308
0.75862069,0.879310345,0.865384615
0.698412698,0.849206349,0.817307692
0.133333333,0.207980769,0.81314433
0.09375,0.442048837,0.828608247
0.117647059,0.461050725,0.871134021
0.136363636,0.457060358,0.829896907
0.208333333,0.533838384,0.909375
0.128205128,0.186990776,0.76875
0.166666667,0.361145556,0.8875
0.138888889,0.619047619,0.916666667
0.066666667,0.311390116,0.76953125
0.083333333,0.429824561,0.783854167
0.291666667,0.619368457,0.804788961
0.295454545,0.15511826,0.79788961
0.411764706,0.712121212,0.892045455
0.311111111,0.659090909,0.829545455
0.317073171,0.39320677,0.78715035
0.351351351,0.611157602,0.847465035
0.333333333,0.183458647,0.836975524
0.317073171,0.591633055,0.821241259
0.302325581,0.654761905,0.835227273
0.333333333,0.354344729,0.876311189
0.479166667,0.739583333,0.84375
0.534883721,0.2875,0.8875
0.5,0.761363636,0.86875
0.46,0.641304348,0.794565217
0.479166667,0.744680851,0.85
0.428571429,0.62985629,0.796467391
0.4375,0.637428588,0.799715909
0.47826087,0.726537609,0.849147727
0.56097561,0.780487805,0.886075949
0.450980392,0.73,0.829113924
0.543859649,0.787037037,0.835714286
0.625,0.8125,0.871428571
0.555555556,0.783018868,0.835714286
0.576923077,0.643846154,0.784285714
0.545454545,0.777777778,0.828571429
0.553571429,0.787037037,0.833333333
0.58490566,0.798076923,0.847826087
0.484375,0.7421875,0.760869565
0.574074074,0.787037037,0.833333333
0.553571429,0.79245283,0.84057971
0.65,0.836206897,0.841666667
0.684210526,0.848214286,0.858333333
0.619047619,0.819672131,0.816666667
0.764705882,0.882352941,0.9
0.629032258,0.814516129,0.808333333
0.655737705,0.838983051,0.838983051
0.727272727,0.85770202,0.86970339
0.661016949,0.848214286,0.855932203
0.609375,0.8046875,0.788135593
0.639344262,0.819672131,0.813559322
