PPV,PR-AUC-Trapezoid,ROC-AUC-Built-in
0.072727273,0.309848485,0.755154639
0.034482759,0.276770128,0.442010309
0.088235294,0.440461859,0.699742268
0.061538462,0.537037037,0.742268041
0.086956522,0.453179779,0.732291667
0.083333333,0.358000512,0.7
0.113636364,0.301961927,0.823958333
0.071428571,0.443911007,0.670833333
0.054545455,0.285269213,0.584635417
0.06557377,0.409982436,0.649739583
0.291666667,0.619368457,0.804788961
0.295454545,0.15511826,0.79788961
0.411764706,0.712121212,0.892045455
0.311111111,0.659090909,0.829545455
0.317073171,0.39320677,0.78715035
0.351351351,0.611157602,0.847465035
0.333333333,0.183458647,0.836975524
0.317073171,0.591633055,0.821241259
0.302325581,0.654761905,0.835227273
0.333333333,0.354344729,0.876311189
