Accuracy,Brier's,ClassificationReport,Cohen's,F1-Macro,FN,FNR,FP,FPR,NPV,PPV,PR-AUC-Trapezoid,ROC-AUC-Built-in,ROC-AUC-Trapezoid,TN,TNR,TP,TPR
0.7920792079207921,0.16799556454917886,"              precision    recall  f1-score   support

         0.0       1.00      0.70      0.82        70
         1.0       0.60      1.00      0.75        31

    accuracy                           0.79       101
   macro avg       0.80      0.85      0.79       101
weighted avg       0.88      0.79      0.80       101
",0.5888738127544098,0.7852586817859674,0.0,0.0,21.0,0.3,1.0,0.5961538461538461,0.7980769230769231,0.85,0.85,49.0,0.7,31.0,1.0
0.7,0.20980568233095961,"              precision    recall  f1-score   support

         0.0       1.00      0.57      0.73        70
         1.0       0.50      1.00      0.67        30

    accuracy                           0.70       100
   macro avg       0.75      0.79      0.70       100
weighted avg       0.85      0.70      0.71       100
",0.4444444444444444,0.696969696969697,0.0,0.0,30.0,0.42857142857142855,1.0,0.5,0.763157894736842,0.8071428571428572,0.8071428571428572,40.0,0.5714285714285714,30.0,1.0
0.76,0.18402839018000897,"              precision    recall  f1-score   support

         0.0       1.00      0.66      0.79        70
         1.0       0.56      1.00      0.71        30

    accuracy                           0.76       100
   macro avg       0.78      0.83      0.75       100
weighted avg       0.87      0.76      0.77       100
",0.5348837209302325,0.7536945812807883,0.0,0.0,24.0,0.34285714285714286,1.0,0.5555555555555556,0.777262443438914,0.8376190476190476,0.8376190476190476,46.0,0.6571428571428571,30.0,1.0
0.69,0.21640518350966406,"              precision    recall  f1-score   support

         0.0       0.88      0.64      0.74        70
         1.0       0.49      0.80      0.61        30

    accuracy                           0.69       100
   macro avg       0.69      0.72      0.68       100
weighted avg       0.76      0.69      0.70       100
",0.3749999999999999,0.6756982948007115,6.0,0.2,25.0,0.35714285714285715,0.8823529411764706,0.4897959183673469,0.5901048112949093,0.7352380952380952,0.7352380952380952,45.0,0.6428571428571429,24.0,0.8
0.77,0.17924414757660587,"              precision    recall  f1-score   support

         0.0       1.00      0.67      0.80        70
         1.0       0.57      1.00      0.72        30

    accuracy                           0.77       100
   macro avg       0.78      0.84      0.76       100
weighted avg       0.87      0.77      0.78       100
",0.55078125,0.7631551848419318,0.0,0.0,23.0,0.32857142857142857,1.0,0.5660377358490566,0.7830188679245282,0.8357142857142857,0.8357142857142857,47.0,0.6714285714285714,30.0,1.0
0.82,0.1536138739109054,"              precision    recall  f1-score   support

         0.0       1.00      0.74      0.85        69
         1.0       0.63      1.00      0.78        31

    accuracy                           0.82       100
   macro avg       0.82      0.87      0.81       100
weighted avg       0.89      0.82      0.83       100
",0.6372430471584039,0.8125,0.0,0.0,18.0,0.2608695652173913,1.0,0.6326530612244898,0.8163265306122449,0.8695652173913044,0.8695652173913044,51.0,0.7391304347826086,31.0,1.0
0.77,0.18183010582825435,"              precision    recall  f1-score   support

         0.0       1.00      0.67      0.80        69
         1.0       0.57      1.00      0.73        31

    accuracy                           0.77       100
   macro avg       0.79      0.83      0.76       100
weighted avg       0.87      0.77      0.78       100
",0.5535714285714286,0.7647058823529412,0.0,0.0,23.0,0.3333333333333333,1.0,0.5740740740740741,0.7980769230769231,0.8478260869565217,0.8478260869565217,46.0,0.6666666666666666,31.0,1.0
0.8,0.16596963667199702,"              precision    recall  f1-score   support

         0.0       1.00      0.71      0.83        69
         1.0       0.61      1.00      0.76        31

    accuracy                           0.80       100
   macro avg       0.80      0.86      0.79       100
weighted avg       0.88      0.80      0.81       100
",0.6030170702659785,0.7933030177759404,0.0,0.0,20.0,0.2898550724637681,1.0,0.6078431372549019,0.803921568627451,0.855072463768116,0.855072463768116,49.0,0.7101449275362319,31.0,1.0
0.74,0.19143321639594596,"              precision    recall  f1-score   support

         0.0       1.00      0.62      0.77        69
         1.0       0.54      1.00      0.70        31

    accuracy                           0.74       100
   macro avg       0.77      0.81      0.74       100
weighted avg       0.86      0.74      0.75       100
",0.5062666160273452,0.7362012987012987,0.0,0.0,26.0,0.37681159420289856,1.0,0.543859649122807,0.7767857142857143,0.8188405797101449,0.8188405797101449,43.0,0.6231884057971014,31.0,1.0
0.79,0.16979969778599757,"              precision    recall  f1-score   support

         0.0       1.00      0.70      0.82        69
         1.0       0.60      1.00      0.75        31

    accuracy                           0.79       100
   macro avg       0.80      0.85      0.78       100
weighted avg       0.87      0.79      0.80       100
",0.5862884160756502,0.7837503861600247,0.0,0.0,21.0,0.30434782608695654,1.0,0.5961538461538461,0.7980769230769231,0.8478260869565217,0.8478260869565217,48.0,0.6956521739130435,31.0,1.0
