Accuracy,Brier's,ClassificationReport,Cohen's,F1-Macro,FN,FNR,FP,FPR,NPV,PPV,PR-AUC-Trapezoid,ROC-AUC-Built-in,ROC-AUC-Trapezoid,TN,TNR,TP,TPR
0.6862745098039216,0.2225906926385264,"              precision    recall  f1-score   support

         0.0       0.98      0.65      0.78        88
         1.0       0.30      0.93      0.45        14

    accuracy                           0.69       102
   macro avg       0.64      0.79      0.61       102
weighted avg       0.89      0.69      0.74       102
",0.3031596925704526,0.6145488899385924,1.0,0.07142857142857142,31.0,0.3522727272727273,0.9827586206896551,0.29545454545454547,0.6058523936931397,0.8173701298701299,0.8173701298701299,57.0,0.6477272727272727,13.0,0.9285714285714286
0.6372549019607843,0.24044702578390495,"              precision    recall  f1-score   support

         0.0       1.00      0.58      0.73        88
         1.0       0.27      1.00      0.43        14

    accuracy                           0.64       102
   macro avg       0.64      0.79      0.58       102
weighted avg       0.90      0.64      0.69       102
",0.27450980392156865,0.5822910902047593,0.0,0.0,37.0,0.42045454545454547,1.0,0.27450980392156865,0.648936170212766,0.8125,0.8125,51.0,0.5795454545454546,14.0,1.0
0.7156862745098039,0.1999750079316345,"              precision    recall  f1-score   support

         0.0       1.00      0.67      0.80        88
         1.0       0.33      1.00      0.49        14

    accuracy                           0.72       102
   macro avg       0.66      0.84      0.65       102
weighted avg       0.91      0.72      0.76       102
",0.35835140997830817,0.6469745793054064,0.0,0.0,29.0,0.32954545454545453,1.0,0.32558139534883723,0.653119284698232,0.8538961038961038,0.8538961038961038,59.0,0.6704545454545454,14.0,1.0
0.6470588235294118,0.2378397598937786,"              precision    recall  f1-score   support

         0.0       1.00      0.59      0.74        88
         1.0       0.28      1.00      0.44        14

    accuracy                           0.65       102
   macro avg       0.64      0.80      0.59       102
weighted avg       0.90      0.65      0.70       102
",0.2839313572542903,0.5901785714285714,0.0,0.0,36.0,0.4090909090909091,1.0,0.28,0.6521739130434783,0.8181818181818182,0.8181818181818182,52.0,0.5909090909090909,14.0,1.0
0.6237623762376238,0.23902398752182236,"              precision    recall  f1-score   support

         0.0       1.00      0.57      0.72        88
         1.0       0.25      1.00      0.41        13

    accuracy                           0.62       101
   macro avg       0.63      0.78      0.57       101
weighted avg       0.90      0.62      0.68       101
",0.25301673803036195,0.5654438405797102,0.0,0.0,38.0,0.4318181818181818,1.0,0.2549019607843137,0.6547619047619048,0.8352272727272727,0.8352272727272727,50.0,0.5681818181818182,13.0,1.0
0.6633663366336634,0.21659102107939635,"              precision    recall  f1-score   support

         0.0       1.00      0.61      0.76        88
         1.0       0.28      1.00      0.43        13

    accuracy                           0.66       101
   macro avg       0.64      0.81      0.60       101
weighted avg       0.91      0.66      0.72       101
",0.29020256304257963,0.5969483568075118,0.0,0.0,34.0,0.38636363636363635,1.0,0.2765957446808511,0.6417186417186418,0.8531468531468532,0.8531468531468532,54.0,0.6136363636363636,13.0,1.0
0.5841584158415841,0.2691053820982893,"              precision    recall  f1-score   support

         0.0       1.00      0.52      0.69        88
         1.0       0.24      1.00      0.38        13

    accuracy                           0.58       101
   macro avg       0.62      0.76      0.53       101
weighted avg       0.90      0.58      0.65       101
",0.21993379919087896,0.5344600526777875,0.0,0.0,42.0,0.4772727272727273,1.0,0.23636363636363636,0.5939874411302983,0.7736013986013985,0.7736013986013985,46.0,0.5227272727272727,13.0,1.0
0.693069306930693,0.2110550413652766,"              precision    recall  f1-score   support

         0.0       1.00      0.65      0.79        88
         1.0       0.30      1.00      0.46        13

    accuracy                           0.69       101
   macro avg       0.65      0.82      0.62       101
weighted avg       0.91      0.69      0.74       101
",0.3212659874268372,0.6211736237144586,0.0,0.0,31.0,0.3522727272727273,1.0,0.29545454545454547,0.6710526315789473,0.8579545454545454,0.8579545454545454,57.0,0.6477272727272727,13.0,1.0
0.6831683168316832,0.22229606266506594,"              precision    recall  f1-score   support

         0.0       1.00      0.64      0.78        88
         1.0       0.29      1.00      0.45        13

    accuracy                           0.68       101
   macro avg       0.64      0.82      0.61       101
weighted avg       0.91      0.68      0.74       101
",0.31058020477815695,0.6130268199233717,0.0,0.0,32.0,0.36363636363636365,1.0,0.28888888888888886,0.6547619047619048,0.8352272727272728,0.8352272727272728,56.0,0.6363636363636364,13.0,1.0
0.5841584158415841,0.26264466794494573,"              precision    recall  f1-score   support

         0.0       1.00      0.52      0.69        88
         1.0       0.24      1.00      0.38        13

    accuracy                           0.58       101
   macro avg       0.62      0.76      0.53       101
weighted avg       0.90      0.58      0.65       101
",0.21993379919087896,0.5344600526777875,0.0,0.0,42.0,0.4772727272727273,1.0,0.23636363636363636,0.6444444444444444,0.8181818181818182,0.8181818181818182,46.0,0.5227272727272727,13.0,1.0
