Accuracy,Brier's,ClassificationReport,Cohen's,F1-Macro,FN,FP,NPV,PPV,PR-AUC-Trapezoid,ROC-AUC-Built-in,ROC-AUC-Trapezoid,TN,TNR,TP,TPR
0.693069306930693,0.2127259747907315,"              precision    recall  f1-score   support

         0.0       0.69      1.00      0.82        70
         1.0       0.00      0.00      0.00        31

    accuracy                           0.69       101
   macro avg       0.35      0.50      0.41       101
weighted avg       0.48      0.69      0.57       101
",0.0,0.4093567251461988,31.0,0.0,0.693069306930693,,0.44534357014823134,0.5225806451612903,0.5225806451612903,70.0,1.0,0.0,0.0
0.7,0.21004444785439158,"              precision    recall  f1-score   support

         0.0       0.70      1.00      0.82        70
         1.0       0.00      0.00      0.00        30

    accuracy                           0.70       100
   macro avg       0.35      0.50      0.41       100
weighted avg       0.49      0.70      0.58       100
",0.0,0.4117647058823529,30.0,0.0,0.7,,0.2788730402950312,0.4942857142857143,0.4942857142857143,70.0,1.0,0.0,0.0
0.7,0.21000193217068883,"              precision    recall  f1-score   support

         0.0       0.70      1.00      0.82        70
         1.0       0.00      0.00      0.00        30

    accuracy                           0.70       100
   macro avg       0.35      0.50      0.41       100
weighted avg       0.49      0.70      0.58       100
",0.0,0.4117647058823529,30.0,0.0,0.7,,0.585962021388261,0.7352380952380952,0.7352380952380952,70.0,1.0,0.0,0.0
0.7,0.21021957187794424,"              precision    recall  f1-score   support

         0.0       0.70      1.00      0.82        70
         1.0       0.00      0.00      0.00        30

    accuracy                           0.70       100
   macro avg       0.35      0.50      0.41       100
weighted avg       0.49      0.70      0.58       100
",0.0,0.4117647058823529,30.0,0.0,0.7,,0.18157923722085406,0.15333333333333332,0.15333333333333332,70.0,1.0,0.0,0.0
0.7,0.21056918698288737,"              precision    recall  f1-score   support

         0.0       0.70      1.00      0.82        70
         1.0       0.00      0.00      0.00        30

    accuracy                           0.70       100
   macro avg       0.35      0.50      0.41       100
weighted avg       0.49      0.70      0.58       100
",0.0,0.4117647058823529,30.0,0.0,0.7,,0.20993239370502637,0.2571428571428571,0.2571428571428571,70.0,1.0,0.0,0.0
0.69,0.21645364183991098,"              precision    recall  f1-score   support

         0.0       0.69      1.00      0.82        69
         1.0       0.00      0.00      0.00        31

    accuracy                           0.69       100
   macro avg       0.34      0.50      0.41       100
weighted avg       0.48      0.69      0.56       100
",0.0,0.40828402366863903,31.0,0.0,0.69,,0.2075956329695266,0.251986909770921,0.251986909770921,69.0,1.0,0.0,0.0
0.69,0.21388153636518825,"              precision    recall  f1-score   support

         0.0       0.69      1.00      0.82        69
         1.0       0.00      0.00      0.00        31

    accuracy                           0.69       100
   macro avg       0.34      0.50      0.41       100
weighted avg       0.48      0.69      0.56       100
",0.0,0.40828402366863903,31.0,0.0,0.69,,0.5366184389254938,0.5783076203833567,0.5783076203833567,69.0,1.0,0.0,0.0
0.69,0.21416374221363607,"              precision    recall  f1-score   support

         0.0       0.69      1.00      0.82        69
         1.0       0.00      0.00      0.00        31

    accuracy                           0.69       100
   macro avg       0.34      0.50      0.41       100
weighted avg       0.48      0.69      0.56       100
",0.0,0.40828402366863903,31.0,0.0,0.69,,0.3077872449584181,0.4001870032725573,0.4001870032725573,69.0,1.0,0.0,0.0
0.69,0.21402058824639802,"              precision    recall  f1-score   support

         0.0       0.69      1.00      0.82        69
         1.0       0.00      0.00      0.00        31

    accuracy                           0.69       100
   macro avg       0.34      0.50      0.41       100
weighted avg       0.48      0.69      0.56       100
",0.0,0.40828402366863903,31.0,0.0,0.69,,0.310138061511243,0.5072463768115942,0.5072463768115942,69.0,1.0,0.0,0.0
0.69,0.21497648632404392,"              precision    recall  f1-score   support

         0.0       0.69      1.00      0.82        69
         1.0       0.00      0.00      0.00        31

    accuracy                           0.69       100
   macro avg       0.34      0.50      0.41       100
weighted avg       0.48      0.69      0.56       100
",0.0,0.40828402366863903,31.0,0.0,0.69,,0.33903090044158385,0.47031323048153345,0.47031323048153345,69.0,1.0,0.0,0.0
