Accuracy,Brier's,ClassificationReport,Cohen's,F1-Macro,FN,FP,NPV,PPV,PR-AUC-Trapezoid,ROC-AUC-Built-in,ROC-AUC-Trapezoid,TN,TP,TPR
0.5,0.2572424847535972,"              precision    recall  f1-score   support

           0       0.50      1.00      0.67        60
           1       0.00      0.00      0.00        60

    accuracy                           0.50       120
   macro avg       0.25      0.50      0.33       120
weighted avg       0.25      0.50      0.33       120
",0.0,0.3333333333333333,60.0,0.0,0.5,,0.68045419652281,0.6919444444444445,0.6919444444444445,60.0,0.0,0.0
0.5,0.25727899463247256,"              precision    recall  f1-score   support

           0       0.50      1.00      0.67        60
           1       0.00      0.00      0.00        60

    accuracy                           0.50       120
   macro avg       0.25      0.50      0.33       120
weighted avg       0.25      0.50      0.33       120
",0.0,0.3333333333333333,60.0,0.0,0.5,,0.5662358457433209,0.5991666666666666,0.5991666666666666,60.0,0.0,0.0
0.5,0.25889118785524107,"              precision    recall  f1-score   support

           0       0.50      1.00      0.67        60
           1       0.00      0.00      0.00        60

    accuracy                           0.50       120
   macro avg       0.25      0.50      0.33       120
weighted avg       0.25      0.50      0.33       120
",0.0,0.3333333333333333,60.0,0.0,0.5,,0.5986430170159687,0.6216666666666667,0.6216666666666667,60.0,0.0,0.0
0.5,0.2483289319327395,"              precision    recall  f1-score   support

           0       0.50      1.00      0.67        60
           1       0.00      0.00      0.00        60

    accuracy                           0.50       120
   macro avg       0.25      0.50      0.33       120
weighted avg       0.25      0.50      0.33       120
",0.0,0.3333333333333333,60.0,0.0,0.5,,0.6621548158537938,0.7202777777777778,0.7202777777777778,60.0,0.0,0.0
0.5,0.26469379109820645,"              precision    recall  f1-score   support

           0       0.50      1.00      0.67        60
           1       0.00      0.00      0.00        60

    accuracy                           0.50       120
   macro avg       0.25      0.50      0.33       120
weighted avg       0.25      0.50      0.33       120
",0.0,0.3333333333333333,60.0,0.0,0.5,,0.37114547885792587,0.26555555555555554,0.26555555555555554,60.0,0.0,0.0
0.5,0.2606712726230659,"              precision    recall  f1-score   support

           0       0.50      1.00      0.67        59
           1       0.00      0.00      0.00        59

    accuracy                           0.50       118
   macro avg       0.25      0.50      0.33       118
weighted avg       0.25      0.50      0.33       118
",0.0,0.3333333333333333,59.0,0.0,0.5,,0.3677543125576459,0.26745188164320594,0.26745188164320594,59.0,0.0,0.0
0.5,0.25473040837629485,"              precision    recall  f1-score   support

           0       0.50      1.00      0.67        59
           1       0.00      0.00      0.00        59

    accuracy                           0.50       118
   macro avg       0.25      0.50      0.33       118
weighted avg       0.25      0.50      0.33       118
",0.0,0.3333333333333333,59.0,0.0,0.5,,0.5099814228001749,0.5484056305659293,0.5484056305659293,59.0,0.0,0.0
0.5,0.25727814427583,"              precision    recall  f1-score   support

           0       0.50      1.00      0.67        59
           1       0.00      0.00      0.00        59

    accuracy                           0.50       118
   macro avg       0.25      0.50      0.33       118
weighted avg       0.25      0.50      0.33       118
",0.0,0.3333333333333333,59.0,0.0,0.5,,0.5668397046783679,0.5978167193335249,0.5978167193335249,59.0,0.0,0.0
0.5,0.2591008675953201,"              precision    recall  f1-score   support

           0       0.50      1.00      0.67        59
           1       0.00      0.00      0.00        59

    accuracy                           0.50       118
   macro avg       0.25      0.50      0.33       118
weighted avg       0.25      0.50      0.33       118
",0.0,0.3333333333333333,59.0,0.0,0.5,,0.5979660919456818,0.6386095949439816,0.6386095949439816,59.0,0.0,0.0
0.5,0.2507710866136099,"              precision    recall  f1-score   support

           0       0.50      1.00      0.67        59
           1       0.00      0.00      0.00        59

    accuracy                           0.50       118
   macro avg       0.25      0.50      0.33       118
weighted avg       0.25      0.50      0.33       118
",0.0,0.3333333333333333,59.0,0.0,0.5,,0.6836975143623163,0.7434645216891698,0.7434645216891698,59.0,0.0,0.0
