Accuracy,Brier's,ClassificationReport,Cohen's,F1-Macro,FN,FP,NPV,PPV,PR-AUC-Trapezoid,ROC-AUC-Built-in,ROC-AUC-Trapezoid,TN,TNR,TP,TPR
0.3069306930693069,0.2476006810081865,"              precision    recall  f1-score   support

         0.0       0.00      0.00      0.00        70
         1.0       0.31      1.00      0.47        31

    accuracy                           0.31       101
   macro avg       0.15      0.50      0.23       101
weighted avg       0.09      0.31      0.14       101
",0.0,0.23484848484848483,0.0,70.0,,0.3069306930693069,0.44534357014823134,0.5225806451612903,0.5225806451612903,0.0,0.0,31.0,1.0
0.3,0.24158205611219205,"              precision    recall  f1-score   support

         0.0       0.00      0.00      0.00        70
         1.0       0.30      1.00      0.46        30

    accuracy                           0.30       100
   macro avg       0.15      0.50      0.23       100
weighted avg       0.09      0.30      0.14       100
",0.0,0.23076923076923075,0.0,70.0,,0.3,0.28240603469997355,0.49857142857142855,0.49857142857142855,0.0,0.0,30.0,1.0
0.3,0.24762291226519395,"              precision    recall  f1-score   support

         0.0       0.00      0.00      0.00        70
         1.0       0.30      1.00      0.46        30

    accuracy                           0.30       100
   macro avg       0.15      0.50      0.23       100
weighted avg       0.09      0.30      0.14       100
",0.0,0.23076923076923075,0.0,70.0,,0.3,0.20192416772609906,0.26,0.26,0.0,0.0,30.0,1.0
0.7,0.25768622880648073,"              precision    recall  f1-score   support

         0.0       0.70      1.00      0.82        70
         1.0       0.00      0.00      0.00        30

    accuracy                           0.70       100
   macro avg       0.35      0.50      0.41       100
weighted avg       0.49      0.70      0.58       100
",0.0,0.4117647058823529,30.0,0.0,0.7,,0.7755543200531831,0.8528571428571429,0.8528571428571429,70.0,1.0,0.0,0.0
0.7,0.25499564227698374,"              precision    recall  f1-score   support

         0.0       0.70      1.00      0.82        70
         1.0       0.00      0.00      0.00        30

    accuracy                           0.70       100
   macro avg       0.35      0.50      0.41       100
weighted avg       0.49      0.70      0.58       100
",0.0,0.4117647058823529,30.0,0.0,0.7,,0.7624932619037018,0.8180952380952381,0.8180952380952381,70.0,1.0,0.0,0.0
0.69,0.25122395315847745,"              precision    recall  f1-score   support

         0.0       0.69      1.00      0.82        69
         1.0       0.00      0.00      0.00        31

    accuracy                           0.69       100
   macro avg       0.34      0.50      0.41       100
weighted avg       0.48      0.69      0.56       100
",0.0,0.40828402366863903,31.0,0.0,0.69,,0.6769249157240692,0.7466105656848995,0.7466105656848995,69.0,1.0,0.0,0.0
0.59,0.25,"              precision    recall  f1-score   support

         0.0       0.73      0.65      0.69        69
         1.0       0.37      0.45      0.41        31

    accuracy                           0.59       100
   macro avg       0.55      0.55      0.55       100
weighted avg       0.62      0.59      0.60       100
",0.09771126760563376,0.5464100011063171,17.0,24.0,0.7258064516129032,0.3684210526315789,0.655,0.5,0.5,45.0,0.6521739130434783,14.0,0.45161290322580644
0.69,0.24994857542534824,"              precision    recall  f1-score   support

         0.0       0.69      1.00      0.82        69
         1.0       0.00      0.00      0.00        31

    accuracy                           0.69       100
   macro avg       0.34      0.50      0.41       100
weighted avg       0.48      0.69      0.56       100
",0.0,0.40828402366863903,31.0,0.0,0.69,,0.6661290322580645,0.5161290322580645,0.5161290322580645,69.0,1.0,0.0,0.0
0.69,0.2542164775481536,"              precision    recall  f1-score   support

         0.0       0.69      1.00      0.82        69
         1.0       0.00      0.00      0.00        31

    accuracy                           0.69       100
   macro avg       0.34      0.50      0.41       100
weighted avg       0.48      0.69      0.56       100
",0.0,0.40828402366863903,31.0,0.0,0.69,,0.30890784542736005,0.5035063113604488,0.5035063113604488,69.0,1.0,0.0,0.0
0.69,0.26175023040023687,"              precision    recall  f1-score   support

         0.0       0.69      1.00      0.82        69
         1.0       0.00      0.00      0.00        31

    accuracy                           0.69       100
   macro avg       0.34      0.50      0.41       100
weighted avg       0.48      0.69      0.56       100
",0.0,0.40828402366863903,31.0,0.0,0.69,,0.32232251228278364,0.5306217858812529,0.5306217858812529,69.0,1.0,0.0,0.0
