Accuracy,Brier's,ClassificationReport,Cohen's,F1-Macro,FN,FP,FPR,NPV,PPV,PR-AUC-Trapezoid,ROC-AUC-Built-in,ROC-AUC-Trapezoid,TN,TNR,TP,TPR
0.7425742574257426,0.18584381641544057,"              precision    recall  f1-score   support

         0.0       1.00      0.63      0.77        70
         1.0       0.54      1.00      0.70        31

    accuracy                           0.74       101
   macro avg       0.77      0.81      0.74       101
weighted avg       0.86      0.74      0.75       101
",0.5095255883451626,0.738237639553429,0.0,26.0,0.37142857142857144,1.0,0.543859649122807,0.787037037037037,0.8357142857142857,0.8357142857142857,44.0,0.6285714285714286,31.0,1.0
0.82,0.1532339808432106,"              precision    recall  f1-score   support

         0.0       1.00      0.74      0.85        70
         1.0       0.62      1.00      0.77        30

    accuracy                           0.82       100
   macro avg       0.81      0.87      0.81       100
weighted avg       0.89      0.82      0.83       100
",0.6341463414634146,0.8108448928121059,0.0,18.0,0.2571428571428571,1.0,0.625,0.8125,0.8714285714285714,0.8714285714285714,52.0,0.7428571428571429,30.0,1.0
0.76,0.18208095648296865,"              precision    recall  f1-score   support

         0.0       1.00      0.66      0.79        70
         1.0       0.56      1.00      0.71        30

    accuracy                           0.76       100
   macro avg       0.78      0.83      0.75       100
weighted avg       0.87      0.76      0.77       100
",0.5348837209302325,0.7536945812807883,0.0,24.0,0.34285714285714286,1.0,0.5555555555555556,0.7830188679245282,0.8357142857142857,0.8357142857142857,46.0,0.6571428571428571,30.0,1.0
0.78,0.18352835995639782,"              precision    recall  f1-score   support

         0.0       1.00      0.69      0.81        70
         1.0       0.58      1.00      0.73        30

    accuracy                           0.78       100
   macro avg       0.79      0.84      0.77       100
weighted avg       0.87      0.78      0.79       100
",0.5669291338582677,0.7726333195535345,0.0,22.0,0.3142857142857143,1.0,0.5769230769230769,0.643846153846154,0.7842857142857143,0.7842857142857143,48.0,0.6857142857142857,30.0,1.0
0.75,0.18534327062239228,"              precision    recall  f1-score   support

         0.0       1.00      0.64      0.78        70
         1.0       0.55      1.00      0.71        30

    accuracy                           0.75       100
   macro avg       0.77      0.82      0.74       100
weighted avg       0.86      0.75      0.76       100
",0.5192307692307692,0.7442455242966752,0.0,25.0,0.35714285714285715,1.0,0.5454545454545454,0.7777777777777778,0.8285714285714285,0.8285714285714285,45.0,0.6428571428571429,30.0,1.0
0.75,0.18886569560652922,"              precision    recall  f1-score   support

         0.0       1.00      0.64      0.78        69
         1.0       0.55      1.00      0.71        31

    accuracy                           0.75       100
   macro avg       0.78      0.82      0.75       100
weighted avg       0.86      0.75      0.76       100
",0.5218056618209641,0.7457023700539112,0.0,25.0,0.36231884057971014,1.0,0.5535714285714286,0.787037037037037,0.8333333333333334,0.8333333333333334,44.0,0.6376811594202898,31.0,1.0
0.78,0.17508278125312873,"              precision    recall  f1-score   support

         0.0       1.00      0.68      0.81        69
         1.0       0.58      1.00      0.74        31

    accuracy                           0.78       100
   macro avg       0.79      0.84      0.77       100
weighted avg       0.87      0.78      0.79       100
",0.5698083691826359,0.7742200328407225,0.0,22.0,0.3188405797101449,1.0,0.5849056603773585,0.7980769230769231,0.8478260869565217,0.8478260869565217,47.0,0.6811594202898551,31.0,1.0
0.67,0.23068841958928477,"              precision    recall  f1-score   support

         0.0       1.00      0.52      0.69        69
         1.0       0.48      1.00      0.65        31

    accuracy                           0.67       100
   macro avg       0.74      0.76      0.67       100
weighted avg       0.84      0.67      0.68       100
",0.40347071583514094,0.6691729323308271,0.0,33.0,0.4782608695652174,1.0,0.484375,0.7421875,0.7608695652173914,0.7608695652173914,36.0,0.5217391304347826,31.0,1.0
0.77,0.18066530851647955,"              precision    recall  f1-score   support

         0.0       1.00      0.67      0.80        69
         1.0       0.57      1.00      0.73        31

    accuracy                           0.77       100
   macro avg       0.79      0.83      0.76       100
weighted avg       0.87      0.77      0.78       100
",0.5535714285714286,0.7647058823529412,0.0,23.0,0.3333333333333333,1.0,0.5740740740740741,0.787037037037037,0.8333333333333334,0.8333333333333334,46.0,0.6666666666666666,31.0,1.0
0.75,0.1803965598911093,"              precision    recall  f1-score   support

         0.0       1.00      0.64      0.78        69
         1.0       0.55      1.00      0.71        31

    accuracy                           0.75       100
   macro avg       0.78      0.82      0.75       100
weighted avg       0.86      0.75      0.76       100
",0.5218056618209641,0.7457023700539112,0.0,25.0,0.36231884057971014,1.0,0.5535714285714286,0.7924528301886793,0.8405797101449276,0.8405797101449276,44.0,0.6376811594202898,31.0,1.0
