Accuracy,Brier's,ClassificationReport,Cohen's,F1-Macro,FN,FP,FPR,NPV,PPV,PR-AUC-Trapezoid,ROC-AUC-Built-in,ROC-AUC-Trapezoid,TN,TNR,TP,TPR
0.7777777777777778,0.1696605082089591,"              precision    recall  f1-score   support

         0.0       1.00      0.63      0.78        60
         1.0       0.64      1.00      0.78        39

    accuracy                           0.78        99
   macro avg       0.82      0.82      0.78        99
weighted avg       0.86      0.78      0.78        99
",0.5764294049008167,0.7777551020408163,0.0,22.0,0.36666666666666664,1.0,0.639344262295082,0.8362068965517242,0.8416666666666668,0.8416666666666668,38.0,0.6333333333333333,39.0,1.0
0.8181818181818182,0.1533792638364205,"              precision    recall  f1-score   support

         0.0       1.00      0.70      0.82        60
         1.0       0.68      1.00      0.81        39

    accuracy                           0.82        99
   macro avg       0.84      0.85      0.82        99
weighted avg       0.88      0.82      0.82        99
",0.6476868327402135,0.818014705882353,0.0,18.0,0.3,1.0,0.6842105263157895,0.8482142857142857,0.8583333333333334,0.8583333333333334,42.0,0.7,39.0,1.0
0.7575757575757576,0.18123309025531434,"              precision    recall  f1-score   support

         0.0       1.00      0.60      0.75        60
         1.0       0.62      1.00      0.76        39

    accuracy                           0.76        99
   macro avg       0.81      0.80      0.76        99
weighted avg       0.85      0.76      0.76        99
",0.5416666666666666,0.7573529411764706,0.0,24.0,0.4,1.0,0.6190476190476191,0.8043117390158235,0.8072649572649573,0.8072649572649573,36.0,0.6,39.0,1.0
0.8787878787878788,0.12394920313136433,"              precision    recall  f1-score   support

         0.0       1.00      0.80      0.89        60
         1.0       0.76      1.00      0.87        39

    accuracy                           0.88        99
   macro avg       0.88      0.90      0.88        99
weighted avg       0.91      0.88      0.88        99
",0.7591240875912408,0.8777777777777778,0.0,12.0,0.2,1.0,0.7647058823529411,0.8823529411764706,0.9,0.9,48.0,0.8,39.0,1.0
0.7373737373737373,0.18781427997990033,"              precision    recall  f1-score   support

         0.0       1.00      0.57      0.72        60
         1.0       0.60      1.00      0.75        39

    accuracy                           0.74        99
   macro avg       0.80      0.78      0.74        99
weighted avg       0.84      0.74      0.73        99
",0.5074626865671641,0.7367021276595744,0.0,26.0,0.43333333333333335,1.0,0.6,0.814516129032258,0.8083333333333333,0.8083333333333333,34.0,0.5666666666666667,39.0,1.0
0.7878787878787878,0.16757994762069753,"              precision    recall  f1-score   support

         0.0       1.00      0.64      0.78        59
         1.0       0.66      1.00      0.79        40

    accuracy                           0.79        99
   macro avg       0.83      0.82      0.79        99
weighted avg       0.86      0.79      0.79        99
",0.5938659894510647,0.7877921812799836,0.0,21.0,0.3559322033898305,1.0,0.6557377049180327,0.8389830508474576,0.8389830508474576,0.8389830508474576,38.0,0.6440677966101694,40.0,1.0
0.8484848484848485,0.14403115670185537,"              precision    recall  f1-score   support

         0.0       1.00      0.75      0.85        59
         1.0       0.73      1.00      0.84        40

    accuracy                           0.85        99
   macro avg       0.86      0.87      0.85        99
weighted avg       0.89      0.85      0.85        99
",0.7032967032967032,0.8482370975983649,0.0,15.0,0.2542372881355932,1.0,0.7272727272727273,0.8455492424242426,0.8633474576271186,0.8633474576271186,44.0,0.7457627118644068,40.0,1.0
0.8061224489795918,0.16081705132919902,"              precision    recall  f1-score   support

         0.0       1.00      0.68      0.81        59
         1.0       0.67      1.00      0.80        39

    accuracy                           0.81        98
   macro avg       0.84      0.84      0.81        98
weighted avg       0.87      0.81      0.81        98
",0.6262545162585307,0.8061022597105071,0.0,19.0,0.3220338983050847,1.0,0.6724137931034483,0.8362068965517242,0.8389830508474576,0.8389830508474576,40.0,0.6779661016949152,39.0,1.0
0.7448979591836735,0.19090317354323252,"              precision    recall  f1-score   support

         0.0       1.00      0.58      0.73        59
         1.0       0.61      1.00      0.76        39

    accuracy                           0.74        98
   macro avg       0.80      0.79      0.74        98
weighted avg       0.84      0.74      0.74        98
",0.519796158369267,0.7442321745484914,0.0,25.0,0.423728813559322,1.0,0.609375,0.8046875,0.788135593220339,0.788135593220339,34.0,0.576271186440678,39.0,1.0
0.7755102040816326,0.17587437711290693,"              precision    recall  f1-score   support

         0.0       1.00      0.63      0.77        59
         1.0       0.64      1.00      0.78        39

    accuracy                           0.78        98
   macro avg       0.82      0.81      0.78        98
weighted avg       0.86      0.78      0.77        98
",0.5723919079730266,0.7754166666666666,0.0,22.0,0.3728813559322034,1.0,0.639344262295082,0.819672131147541,0.8135593220338982,0.8135593220338982,37.0,0.6271186440677966,39.0,1.0
